Full Name,Company Name,Domain,Email,Context,Signal
Burt White,Carson Group,carsongroup.com,,CEO. Former LPL Financial CIO. Joined Carson as CSO in 2022 then promoted to CEO.,RIA aggregator leadership
Peter Mallouk,Creative Planning,creativeplanning.com,,President & CEO. Acquired firm in 2004 at $34M AUM. Now $354B+ combined assets. NYT bestselling author.,RIA aggregator leadership
Dave Kaye,Creative Planning,creativeplanning.com,,Chief Financial Officer. Oversees firm finances.,RIA financial operations
Charlie Bilello,Creative Planning,creativeplanning.com,,Chief Market Strategist. Leads market research and thought leadership.,RIA investment strategy
Jeff Stolper,Creative Planning,creativeplanning.com,,Director of Financial Planning. Leads planning practice.,RIA financial planning
Jeff Dekko,Wealth Enhancement Group,wealthenhancement.com,,CEO. 35+ years experience. Former General Mills and P&G leader. Firm manages $120B.,RIA aggregator leadership
Jim Cahn,Wealth Enhancement Group,wealthenhancement.com,,Chair Investment Committee & Chief Strategy Officer. Leads investment and strategy.,RIA investment strategy
Michael Fredericks,Wealth Enhancement Group,wealthenhancement.com,,Chief Investment Officer. Former BlackRock Managing Director Head of Income Investing.,RIA investment management
Dan Stampf,Wealth Enhancement Group,wealthenhancement.com,,Chief Product Officer. CFP. Elevates product and client experience.,RIA product development
Brian Vnak,Wealth Enhancement Group,wealthenhancement.com,,Chief Advisory Officer. CFP CPA. Leads advisory practice.,RIA advisory services
Michelle Brownstein,Wealth Enhancement Group,wealthenhancement.com,,Chief New Client Development Officer. CFP. Former Empower executive.,RIA business development
Shannon Eusey,Beacon Pointe Advisors,beaconpointe.com,,CEO & Co-Founder. Largest female-led RIA in US. Grew firm to $25B+ AUM.,RIA aggregator leadership
Matt Cooper,Beacon Pointe Advisors,beaconpointe.com,,President. M&A Leader of the Year. Led 14 acquisitions representing $7B in 2021.,RIA M&A leadership
Kurt Miscinski,Cerity Partners,ceritypartners.com,,Partner President & CEO. CPA. Former global investment bank Managing Director.,RIA aggregator leadership
Robert Jeffers,Cerity Partners,ceritypartners.com,,COO & Partner. 20+ years financial services leadership. Former Fiduciary Trust COO.,RIA operations
Carol Benz,Cerity Partners,ceritypartners.com,,Partner & Chief People Officer. Leads HR and talent strategy.,RIA human resources
Chris Curtis,Cerity Partners,ceritypartners.com,,Partner & CFO. Oversees financial operations.,RIA financial operations
Claire OKeefe,Cerity Partners,ceritypartners.com,,Head of Partner Development. Leads firm growth initiatives.,RIA business development
Ryan Parker,EP Wealth Advisors,epwealth.com,,CEO. Former Citizens Bank Wealth Management President. Former Edelman Financial CEO.,RIA aggregator leadership
Patrick Goshtigian,EP Wealth Advisors,epwealth.com,,Executive Chairman. Leads strategic direction.,RIA aggregator leadership
Jorge Bernal,EP Wealth Advisors,epwealth.com,,COO. Oversees operations across 44 offices.,RIA operations
Christopher Toumajian,EP Wealth Advisors,epwealth.com,,CFO. Manages firm finances.,RIA financial operations
Brian Parker,EP Wealth Advisors,epwealth.com,,Founder & Managing Director. Co-founded firm in 1999.,RIA founder
Derek Holman,EP Wealth Advisors,epwealth.com,,Founder. Co-founded Premier Financial Management which became EP Wealth.,RIA founder
J. Fielding Miller,CAPTRUST,captrust.com,,CEO & Board Chair. Founding partner. RIA CEO of the Year 2020.,RIA aggregator leadership
Ben Goldstein,CAPTRUST,captrust.com,,President. Former COO. 10+ years with firm. Oversees operations and M&A.,RIA aggregator leadership
Robert Miller,CAPTRUST,captrust.com,,CFO. Former Raymond James COO/CFO. 17 years financial services experience.,RIA financial operations
John Appleby,CAPTRUST,captrust.com,,Managing Director Project Management & Acquisitions. CIMA PMP.,RIA M&A operations
Kevin Barry,CAPTRUST,captrust.com,,Chief Investment Officer Consulting Research Group. CFA.,RIA investment research
Wilson Hoyle III,CAPTRUST,captrust.com,,Managing Director & Head of Advisor Group. 25+ years experience.,RIA advisor relations
Michael Vogelzang,CAPTRUST,captrust.com,,Chief Investment Strategist. Oversees individual securities portfolios.,RIA investment strategy
Rick Kent,Merit Financial Advisors,meritfinancialadvisors.com,,CEO & Founder. Forbes Top 10 Georgia Wealth Advisor. Founded on servant-leadership.,RIA aggregator leadership
Kay Lynn Mayhue,Merit Financial Advisors,meritfinancialadvisors.com,,President. Leads strategic execution and growth planning.,RIA aggregator leadership
John Cote,Merit Financial Advisors,meritfinancialadvisors.com,,Chief Growth Officer. 30+ years experience. Former Morgan Stanley advisor.,RIA business development
Brian Andrew,Merit Financial Advisors,meritfinancialadvisors.com,,Chief Investment Officer. CFA. Leads investment strategy.,RIA investment management
Alex Hansen,Merit Financial Advisors,meritfinancialadvisors.com,,Chief Advisor Success Officer. Former SVP at Commonwealth Financial Network.,RIA advisor relations
Brian Brashaw,Merit Financial Advisors,meritfinancialadvisors.com,,VP Employer Plan Solutions. Former Osaic Head of Employer Plan Consulting.,RIA retirement plans
Gregory Kushner,Lido Advisors,lidoadvisors.com,,Chairman Emeritus & Founder. Built firm to $30B+ AUM.,RIA aggregator founder
Jason Ozur,Lido Advisors,lidoadvisors.com,,CEO. Expanded firm reach under strategic leadership.,RIA aggregator leadership
Ken Stern,Lido Advisors,lidoadvisors.com,,President. Leads firm operations and strategy.,RIA aggregator leadership
Jeffrey Garden,Lido Advisors,lidoadvisors.com,,Chief Investment Officer. Leads investment management.,RIA investment management
Jason Lee,Lido Advisors,lidoadvisors.com,,Chief Compliance Officer & General Counsel. Former SEC experience.,RIA compliance
Michael Karsa,Lido Advisors,lidoadvisors.com,,Senior Managing Director. Forbes Best-in-State Wealth Advisor Illinois.,RIA wealth management
Robert Marton,Lido Advisors,lidoadvisors.com,,Senior Managing Director. Forbes Best-in-State Wealth Advisor Florida.,RIA wealth management
Chris Todd,Envestnet,envestnet.com,,CEO. Appointed January 2025. Strategic leader and culture builder.,WealthTech leadership
Rich Aneser,Envestnet,envestnet.com,,Chief Strategy Officer. Shapes company strategic direction.,WealthTech strategy
Tom Sipp,Envestnet,envestnet.com,,Executive Vice President. Senior leadership team member.,WealthTech leadership
Brandon Rockwell Thomas,Envestnet,envestnet.com,,Chief Information Officer. Leads technology strategy.,WealthTech technology
Natalie Wolfsen,Orion Advisor Solutions,orion.com,,CEO. Former AssetMark CEO. 30 years experience. Barrons Top 100 Women in Finance.,WealthTech leadership
Eric Clarke,Orion Advisor Solutions,orion.com,,Founding CEO. Launched firm in 1999. Pioneer in portfolio accounting software.,WealthTech founder
Ron Pruitt,Orion Advisor Solutions,orion.com,,President. Appointed May 2024. Industry veteran.,WealthTech leadership
Tim Holland,Orion Advisor Solutions,orion.com,,Chief Investment Officer OCIO. CFA. Oversees Orion Wealth Management.,WealthTech investment
Rusty Vanneman,Orion Advisor Solutions,orion.com,,Chief Investment Officer Wealth Management. CFA. Leads wealth platform investments.,WealthTech investment
Shelby Perez,Orion Advisor Solutions,orion.com,,Chief Solutions Officer. 25+ years fintech experience. Former Schwab and Visa.,WealthTech solutions
Daniel Crosby,Orion Advisor Solutions,orion.com,,Chief Behavioral Officer. PhD. Behavioral finance expert.,WealthTech behavioral finance
Lou Maiuri,AssetMark,assetmark.com,,Chairman & Group CEO. Former BNY Mellon executive. Co-founded Eagle Investment Systems.,TAMP leadership
Michael Kim,AssetMark,assetmark.com,,CEO & President. 30+ years experience. Set strategic vision for platform.,TAMP leadership
Michael Abelson,AssetMark,assetmark.com,,EVP Head of Strategic Partnerships. Joined 1994. Analyzes growth opportunities.,TAMP partnerships
Ted Angus,AssetMark,assetmark.com,,EVP & General Counsel. Leads legal and compliance teams.,TAMP legal
Heather Gille,AssetMark,assetmark.com,,EVP Chief People & Administrative Officer. 20+ years HR leadership.,TAMP human resources
Esi Minta-Jacobs,AssetMark,assetmark.com,,EVP & Chief of Staff. Executes long-term strategic goals.,TAMP strategy
Gary Zyla,AssetMark,assetmark.com,,EVP Chief Financial Officer. Oversees firm finances.,TAMP financial operations
Muk Mehta,AssetMark,assetmark.com,,EVP Chief Information Officer. Leads technology strategy.,TAMP technology
Matt Matrisian,AssetMark,assetmark.com,,Head of Client Growth. Leads client acquisition and growth.,TAMP business development
Doris Meister,AssetMark,assetmark.com,,Board Member. Former Wilmington Trust CEO. 25 years financial services.,TAMP board
Lisa Opoku,AssetMark,assetmark.com,,Board Member. FS Investments COO. Former Goldman Sachs leader.,TAMP board
Tom Bradley,Schwab Advisor Services,advisorservices.schwab.com,,Managing Director. Leads RIA custody relationships.,RIA custodian
Noni Robinson,Fidelity Investments,fidelity.com,,Head of Emerging RIAs. Supports small and midsize wealth management firms.,RIA custodian
Ainslie Simmonds,BNY Mellon Pershing,pershing.com,,President Pershing X. Leads advisory platform innovation.,RIA custodian
Steve Earner,LPL Financial,lpl.com,,Senior Vice President RIA Custody. Leads RIA custodial services.,RIA custodian
Greg Bruce,Raymond James,raymondjamesria.com,,Head of RIA & Custody Services. 20+ years delivering custody and support.,RIA custodian
Raj Bhaskar,Raymond James,raymondjamesria.com,,VP Technology Strategy RIA & Custody Services. Former E*TRADE strategy head.,RIA custodian technology
Leila Shaver,My RIA Lawyer,myrialawyer.com,,Founder. Securities attorney and compliance expert. Former CCO and General Counsel.,RIA legal consulting
Tony Prete,Advisor Legacy,advisorlegacy.com,,Leads valuation engagements. Coordinates lending and legal partners.,RIA valuation consulting
Beth Siegel,Kelso & Company,kelso.com,,Partner. Helps finance firms explore partnership and succession strategies.,RIA partnership structuring
John Furey,Advisor Growth Strategies,advisorgrowthllc.com,,Founder & Managing Partner. RIA growth strategy M&A and succession planning.,RIA growth consulting
Tim Welsh,Nexus Strategy,nexus-strategy.com,,President & CEO. Practice management consultant for financial advisors.,RIA practice management
Dennis Moseley-Williams,Strategic Consulting,dennismoseleywilliams.com,,Founder. Helps organizations build sustainable client relationships.,RIA consulting
Suzanne Muusers,Prosperity Coaching,prosperitycoaching.biz,,Founder. 17+ years coaching financial advisors. Business planning and branding.,Financial advisor coaching
Susan Danzig,Susan Danzig Consulting,susandanzig.com,,Business Coach. Since 1994. Helps advisors clarify value and create marketing strategies.,Financial advisor coaching
Crystal Shanks,Run Right Business Consulting,runrightconsulting.com,,CEO & Certified Business Coach. Since 2009 helping clients build thriving businesses.,Business coaching
Allison Tabor,Coppia Advisory,coppiaadvisory.com,,Founder & CEO. Helps leaders develop growth strategies in changing markets.,Leadership consulting
Mary Kate Gulick,FiComm Partners,ficommpartners.com,,Partner. Thought leader on succession planning. Notes less than 40% of RIAs have plans.,RIA marketing consulting
Matt Sirinides,FiComm Partners,ficommpartners.com,,Managing Partner. Award-winning growth marketing consultancy for RIAs.,RIA marketing consulting
Amy Parvaneh,Select Advisors Institute,selectadvisorsinstitute.com,,Founder. Globally recognized authority on RIA brand and growth strategy.,RIA marketing consulting
Megan Carpenter,FiComm Partners,ficommpartners.com,,CEO. Leads growth marketing consultancy serving 250+ clients.,RIA marketing consulting
Scott Hanson,Allworth Financial,allworthfinancial.com,,Co-Founder. Built $20B+ AUM firm. Financial planning pioneer.,RIA aggregator
Tom Daley,Allworth Financial,allworthfinancial.com,,Co-Founder. Built nationwide RIA through acquisitions.,RIA aggregator
Mark Tibergien,Former Pershing Advisor Solutions,linkedin.com/in/marktibergien,,Industry veteran. Former CEO Pershing Advisor Solutions. Practice management guru.,RIA consulting
Philip Palaveev,The Ensemble Practice,ensemblepractice.com,,CEO. Leads consulting firm for financial advisors on business strategy.,RIA practice management
Mark Hurley,Fiduciary Network,fiduciarynetwork.com,,Founder & CEO. Industry thought leader on RIA consolidation trends.,RIA aggregator
Ric Edelman,Edelman Financial Engines,edelmanfinancialengines.com,,Founder. Built one of largest RIAs. Financial education pioneer.,RIA founder
Ross Levin,Accredited Investors,accredited.com,,Founding Principal. Industry thought leader on financial planning.,RIA financial planning
George Kinder,Kinder Institute,kinderinstitute.com,,Founder. Pioneer in life planning for financial advisors.,Financial life planning
Mitch Anthony,Mitch Anthony,mitchanthony.com,,Founder. Financial life planning expert. Author and speaker.,Financial life planning
Michael Kitces,Kitces.com,kitces.com,,Co-Founder Buckingham. Industry thought leader. Publisher of Nerd's Eye View.,RIA thought leadership
Carl Richards,Behavior Gap,behaviorgap.com,,CFP. Sketch guy. New York Times columnist on behavioral finance.,Financial planning
Bob Veres,Inside Information,bobveres.com,,Publisher. Industry commentator. Tracks advisor trends and technology.,RIA industry analysis
Chip Roame,Tiburon Strategic Advisors,tiburonstrategicadvisors.com,,Managing Partner. Hosts Tiburon CEO Summit. Industry research leader.,RIA industry research
Mark Hurley,Counsel Trust,counseltrust.com,,Founder. Former Undiscovered Managers. Industry consolidation expert.,RIA consulting
Oisin Breen,Fidelity Institutional,fidelity.com,,Head of Practice Management. Leads advisor practice consulting.,RIA practice management
Angie Herbers,Herbers & Company,herbersco.com,,Founder & CEO. RIA growth strategist. Inc 5000 company.,RIA growth consulting
Mindy Diamond,Diamond Consultants,diamond-consultants.com,,Founder & CEO. Executive search and transition consulting for advisors.,RIA recruiting consulting
Louis Diamond,Diamond Consultants,diamond-consultants.com,,President. Leads recruiting practice for financial advisors.,RIA recruiting
Matt Sonnen,PFI Advisors,pfiadvisors.com,,Founder & CEO. COO consulting and practice management for RIAs.,RIA operations consulting
Dan Inveen,FA Insight,fainsight.com,,Principal. RIA benchmarking and consulting. Industry researcher.,RIA consulting
Elizabeth Nesvold,Silver Lane Advisors,silverlaneadvisors.com,,Managing Partner. Investment banking for wealth management firms.,RIA investment banking
Rick Danzl,Silver Lane Advisors,silverlaneadvisors.com,,Managing Partner. M&A advisory for wealth management.,RIA M&A advisory
Brian Hamburger,MarketCounsel,marketcounsel.com,,Founder & CEO. Compliance and legal consulting for RIAs.,RIA compliance consulting
Matt Lynch,Strategy & Resources,strategyresources.com,,Managing Partner. Strategic consulting for financial services.,RIA consulting
Mark Bruno,InvestmentNews,investmentnews.com,,Managing Director. Industry media and events leader.,RIA industry media
Pablo Chavez,Emigrant Bank,emigrant.com,,Head of RIA Lending. Provides financing for RIA acquisitions.,RIA lending
Chris Paglione,Oak Street Funding,oakstreetfunding.com,,EVP. Small business lending for financial advisors and insurance.,RIA lending
Chip Kispert,Beacon Strategies,beaconstr.com,,Managing Partner. Growth consulting for RIAs. Former Schwab executive.,RIA consulting
Brian Portnoy,Shaping Wealth,shapingwealth.com,,Founder. Behavioral finance expert. Author of The Geometry of Wealth.,Behavioral finance
Sherry DeBari,FP Transitions,fptransitions.com,,VP Consulting. Leads practice management consulting.,RIA practice consulting
Bernie Clark,Schwab Advisor Services,advisorservices.schwab.com,,Former Head. Industry veteran. Built Schwab RIA custody business.,RIA custody leadership
Jon Jones,Brighton Jones,brightonjones.com,,CEO. Built $20B+ AUM firm focused on purpose-driven wealth.,RIA leadership
Julie Littlechild,Absolute Engagement,absoluteengagement.com,,CEO. Client engagement research and consulting for advisors.,RIA engagement consulting
Steve Sanduski,Belay Advisor,belayadvisor.com,,Co-Founder. Coaching and consulting for elite advisors.,Financial advisor coaching
John Bowen,CEG Worldwide,cegworldwide.com,,Founder & CEO. Elite advisor coaching network with $100B+ combined AUM.,Financial advisor coaching
Mike Palumbos,Family Wealth & Legacy,familywealthlegacy.com,,Founder. Family business and wealth consulting.,Family office consulting
Sara Grillo,Sara Grillo LLC,saragrillo.com,,Marketing Consultant. Content and social media for financial advisors.,RIA marketing
Samantha Russell,Twenty Over Ten,twentyoverten.com,,Chief Evangelist. Digital marketing expert for financial advisors.,RIA marketing
Kristen Luke,Kaleido Creative,kaleidocreative.com,,Founder. Marketing agency for financial advisors.,RIA marketing
Susan Weiner,Investment Writing,investmentwriting.com,,Founder. Content marketing for investment management.,Investment content marketing
Advisor Asset Management,AAM,aamlive.com,,SMA and product distribution for financial advisors.,SMA provider
Russell Investments,Russell,russellinvestments.com,,Global asset manager. Model portfolios for RIAs.,Asset management
Dimensional Fund Advisors,DFA,dimensional.com,,Asset manager. Evidence-based investing. RIA-focused distribution.,Asset management
Vanguard,Vanguard Advisor Services,advisors.vanguard.com,,Investment management and practice support for advisors.,Asset management
BlackRock,BlackRock,blackrock.com,,Asset manager. iShares and model portfolios for advisors.,Asset management
State Street Global Advisors,SSGA,ssga.com,,Asset manager. SPDR ETFs. RIA distribution.,Asset management
Charles Schwab Investment Management,CSIM,schwab.com,,Asset management arm of Schwab. ETFs and mutual funds.,Asset management
Fidelity Investments,Fidelity,fidelity.com,,Asset management. Mutual funds and separately managed accounts.,Asset management
Northern Trust,Northern Trust,northerntrust.com,,Asset management and wealth management. OCIO services.,Asset and wealth management
Goldman Sachs Asset Management,GSAM,gsam.com,,Asset management. Alternatives and traditional strategies.,Asset management
JP Morgan Asset Management,JPMAM,jpmorgan.com,,Asset management. Model portfolios and active strategies.,Asset management
Morgan Stanley Investment Management,MSIM,morganstanley.com,,Asset management. Multi-asset solutions for advisors.,Asset management
PIMCO,PIMCO,pimco.com,,Fixed income asset manager. Active bond strategies.,Asset management
Capital Group,Capital Group,capitalgroup.com,,Asset manager. American Funds. Long-term investing focus.,Asset management
T. Rowe Price,T. Rowe Price,troweprice.com,,Asset manager. Active equity and fixed income strategies.,Asset management
MFS Investment Management,MFS,mfs.com,,Asset manager. Active global equity and fixed income.,Asset management
Franklin Templeton,Franklin Templeton,franklintempleton.com,,Asset manager. Global investment solutions.,Asset management
Invesco,Invesco,invesco.com,,Asset manager. PowerShares ETFs and active strategies.,Asset management
Nuveen,Nuveen,nuveen.com,,Asset manager. TIAA subsidiary. Fixed income and alternatives.,Asset management
Eaton Vance,Eaton Vance,eatonvance.com,,Asset manager. Parametric custom indexing. Morgan Stanley subsidiary.,Asset management
SEI Investments,SEI,seic.com,,Investment manager and technology. OCIO and TAMP services.,TAMP and asset management
Adhesion Wealth,Adhesion,adhesionwealth.com,,TAMP provider. Now part of AssetMark.,TAMP
Brinker Capital,Brinker Capital,brinkercapital.com,,TAMP and investment manager. Part of Orion.,TAMP
GeoWealth,GeoWealth,geowealth.com,,TAMP provider. Founded 2010. Turnkey asset management.,TAMP
Riskalyze,Riskalyze,riskalyze.com,,Risk assessment technology. Advisor fintech platform.,RIA technology
Morningstar,Morningstar,morningstar.com,,Investment research. Morningstar Managed Portfolios TAMP.,Investment research and TAMP
YCharts,YCharts,ycharts.com,,Investment research and visualization platform for advisors.,RIA technology
Kwanti,Kwanti,kwanti.com,,Portfolio analytics and proposal generation for advisors.,RIA technology
Hidden Levers,Hidden Levers,hiddenlevers.com,,Risk analytics and stress testing for advisors.,RIA technology
Nitrogen Wealth,Nitrogen,nitrogenwealth.com,,Risk tolerance and portfolio analytics. Formerly Riskalyze.,RIA technology
Holistiplan,Holistiplan,holistiplan.com,,Tax planning software for financial advisors.,RIA technology
Income Lab,Income Lab,incomelab.io,,Retirement income planning software for advisors.,RIA technology
Advyzon,Advyzon,advyzon.com,,All-in-one RIA technology platform. Portfolio management and CRM.,RIA technology
Addepar,Addepar,addepar.com,,Wealth management technology platform. Data aggregation.,WealthTech
Black Diamond,Black Diamond,advent.blackdiamond.com,,Portfolio management platform. Part of SS&C Advent.,WealthTech
Tamarac,Tamarac,envestnet.com/tamarac,,Portfolio management and CRM. Part of Envestnet.,WealthTech
Redtail Technology,Redtail,redtailtechnology.com,,CRM for financial advisors. Market leader. Part of Orion.,RIA CRM
Wealthbox,Wealthbox,wealthbox.com,,CRM for financial advisors. Modern interface.,RIA CRM
Salesforce Financial Services Cloud,Salesforce,salesforce.com,,Enterprise CRM platform for wealth management.,RIA CRM
Junxure,Junxure,junxure.com,,CRM for financial advisors. Part of AdvisorEngine.,RIA CRM
eMoney Advisor,eMoney,emoneyadvisor.com,,Financial planning software. Client portal. Part of Fidelity.,Financial planning software
MoneyGuidePro,MoneyGuide,moneyguidepro.com,,Financial planning software. Part of Envestnet.,Financial planning software
RightCapital,RightCapital,rightcapital.com,,Financial planning software. Independent. Founded 2015.,Financial planning software
Orion Financial Planning,Orion,orion.com,,Financial planning software. Part of Orion platform.,Financial planning software
AdvicePay,AdvicePay,advicepay.com,,Fee billing platform for financial planners. Founded by XYPN.,RIA billing
Riskalyze,Riskalyze,riskalyze.com,,Risk assessment and client engagement platform.,RIA technology
Snappy Kraken,Snappy Kraken,snappykraken.com,,Automated marketing platform for financial advisors.,RIA marketing technology
FMG Suite,FMG Suite,fmgsuite.com,,Digital marketing platform for financial advisors.,RIA marketing technology
Advisor Websites,Advisor Websites,advisorwebsites.com,,Website design and digital marketing for advisors.,RIA marketing
Twenty Over Ten,Twenty Over Ten,twentyoverten.com,,Website design platform for financial advisors.,RIA marketing
Lead Pilot,Lead Pilot,leadpilot.com,,Content marketing automation for financial advisors.,RIA marketing
Vestwell,Vestwell,vestwell.com,,Digital retirement platform. 401k administration.,Retirement technology
Human Interest,Human Interest,humaninterest.com,,401k provider for small businesses. Advisor partnerships.,Retirement technology
Guideline,Guideline,guideline.com,,401k provider. Low-cost retirement plans.,Retirement technology
Betterment for Business,Betterment,betterment.com,,401k plans for businesses. Robo-advisor.,Retirement technology
Altruist,Altruist,altruist.com,,Modern RIA custodian. Commission-free trading.,RIA custodian
TradePMR,TradePMR,tradepmr.com,,RIA custodian. Technology-forward platform.,RIA custodian
Axos Advisor Services,Axos,axosadvisorservices.com,,RIA custodian. Banking and custody services.,RIA custodian
Interactive Brokers,IBKR,interactivebrokers.com,,Trading platform. RIA custody services.,RIA custodian
Folio Institutional,Folio,folioinstitutional.com,,RIA custodian. Goldman Sachs subsidiary.,RIA custodian
DriveWealth,DriveWealth,drivewealth.com,,Trading technology. Fractional shares platform.,Trading technology
Apex Clearing,Apex,apexclearing.com,,Clearing and custody technology. Fintech infrastructure.,Clearing technology
Pershing,Pershing,pershing.com,,Clearing custody and technology. BNY Mellon subsidiary.,RIA custodian
National Financial Services,NFS,fidelity.com/go/nfs,,Clearing and custody. Fidelity subsidiary.,Clearing and custody
RIA in a Box,RIA in a Box,riainabox.com,,Compliance consulting and technology. Part of COMPLY.,RIA compliance
COMPLY,COMPLY,comply.com,,Compliance platform for RIAs. Employee trade monitoring.,RIA compliance
ACA Compliance Group,ACA,acacompliancegroup.com,,Compliance consulting. 20+ years experience. Former regulators.,RIA compliance
Red Oak Compliance,Red Oak,redoakcompliance.com,,AI-powered compliance. Advertising review automation.,RIA compliance
NRS,NRS,nrs-inc.com,,Compliance consulting for investment advisors.,RIA compliance
RIA Registration Depot,RIA Registration,riaregistration.com,,RIA registration and compliance services.,RIA compliance
Fairview Investment Services,Fairview,fairviewis.com,,Outsourced compliance and operations for RIAs.,RIA compliance
Beacon Compliance Consulting,Beacon,beaconcomplianceconsulting.com,,Compliance consulting for RIAs and broker-dealers.,RIA compliance
